,Home_code,Away_code,Venue_code,Matchweek,Season,HomeFullPoint,AwayFullPoint,HomeGoal,AwayGoal,HomeConceded,AwayConceded,pastHP,pastAP,pastHG,pastAG,pastHGC,pastAGC,HomeAvgPoint,AwayAvgPoint
43,14,5,14,5,2016,4.0,4.0,4.0,3.0,7.0,5.0,1.0,1.0,3.0,1.0,5.0,4.0,1.0,1.0
44,16,2,16,5,2016,12.0,4.0,11.0,3.0,4.0,5.0,4.0,4.0,5.0,2.0,2.0,1.0,3.0,1.0
45,28,29,28,5,2016,4.0,3.0,2.0,5.0,3.0,9.0,0.0,0.0,0.0,3.0,1.0,7.0,1.0,0.75
46,8,23,8,5,2016,4.0,1.0,3.0,2.0,4.0,10.0,0.0,0.0,3.0,0.0,2.0,5.0,1.0,0.25
47,22,25,22,5,2016,2.0,4.0,3.0,4.0,6.0,6.0,1.0,1.0,2.0,3.0,3.0,4.0,0.5,1.0
48,26,24,26,5,2016,8.0,1.0,7.0,3.0,2.0,8.0,1.0,1.0,5.0,1.0,1.0,4.0,2.0,0.25
49,27,17,27,5,2016,4.0,9.0,7.0,7.0,8.0,3.0,3.0,3.0,5.0,2.0,5.0,2.0,1.0,2.25
50,0,7,0,6,2016,10.0,10.0,12.0,10.0,7.0,6.0,1.0,1.0,6.0,3.0,2.0,4.0,2.0,2.0
51,2,9,2,6,2016,4.0,13.0,3.0,10.0,9.0,3.0,6.0,6.0,1.0,6.0,4.0,1.0,0.8,2.6
52,15,12,15,6,2016,10.0,7.0,11.0,6.0,8.0,7.0,1.0,1.0,6.0,2.0,2.0,5.0,2.0,1.4
53,17,14,17,6,2016,9.0,7.0,8.0,7.0,6.0,7.0,3.0,3.0,2.0,4.0,5.0,4.0,1.8,1.4
54,18,26,18,6,2016,5.0,11.0,5.0,8.0,7.0,2.0,6.0,6.0,2.0,5.0,5.0,0.0,1.0,2.2
55,23,28,23,6,2016,1.0,7.0,3.0,6.0,14.0,5.0,3.0,3.0,1.0,4.0,8.0,3.0,0.2,1.4
56,24,8,24,6,2016,1.0,7.0,3.0,7.0,9.0,5.0,6.0,6.0,0.0,6.0,4.0,2.0,0.2,1.4
57,25,16,25,6,2016,4.0,15.0,4.0,15.0,7.0,4.0,6.0,6.0,2.0,6.0,3.0,1.0,0.8,3.0
58,29,22,29,6,2016,3.0,5.0,7.0,4.0,13.0,6.0,3.0,3.0,4.0,2.0,8.0,2.0,0.6,1.0
59,5,27,5,6,2016,4.0,7.0,3.0,10.0,8.0,9.0,6.0,6.0,1.0,7.0,4.0,3.0,0.8,1.4
60,9,8,9,7,2016,13.0,10.0,10.0,10.0,4.0,7.0,6.0,6.0,3.0,7.0,2.0,3.0,2.1666666666666665,1.6666666666666667
61,12,7,12,7,2016,7.0,10.0,7.0,10.0,12.0,9.0,0.0,0.0,2.0,1.0,9.0,5.0,1.1666666666666667,1.6666666666666667
62,24,28,24,7,2016,1.0,8.0,5.0,7.0,12.0,6.0,4.0,4.0,2.0,5.0,4.0,3.0,0.1666666666666666,1.3333333333333333
63,25,15,25,7,2016,4.0,13.0,5.0,16.0,10.0,9.0,6.0,6.0,1.0,7.0,4.0,2.0,0.6666666666666666,2.1666666666666665
64,27,2,27,7,2016,7.0,7.0,10.0,4.0,11.0,9.0,3.0,3.0,3.0,1.0,3.0,4.0,1.1666666666666667,1.1666666666666667
65,29,18,29,7,2016,3.0,5.0,7.0,6.0,16.0,9.0,0.0,0.0,2.0,2.0,7.0,5.0,0.5,0.8333333333333334
66,5,0,5,7,2016,7.0,13.0,5.0,15.0,8.0,7.0,6.0,6.0,2.0,7.0,3.0,1.0,1.1666666666666667,2.1666666666666665
67,14,22,14,7,2016,7.0,8.0,8.0,7.0,11.0,6.0,6.0,6.0,4.0,4.0,4.0,0.0,1.1666666666666667,1.3333333333333333
68,17,23,17,7,2016,12.0,2.0,12.0,4.0,7.0,15.0,1.0,1.0,5.0,2.0,4.0,5.0,2.0,0.3333333333333333
69,26,16,26,7,2016,14.0,18.0,10.0,18.0,3.0,5.0,6.0,6.0,3.0,7.0,1.0,1.0,2.333333333333333,3.0
70,0,25,0,8,2016,16.0,4.0,16.0,6.0,7.0,12.0,0.0,0.0,4.0,2.0,0.0,5.0,2.2857142857142856,0.5714285714285714
71,2,12,2,8,2016,8.0,7.0,6.0,7.0,11.0,14.0,0.0,0.0,3.0,1.0,2.0,7.0,1.1428571428571428,1.0
72,7,14,7,8,2016,13.0,8.0,12.0,8.0,9.0,11.0,1.0,1.0,2.0,1.0,3.0,4.0,1.8571428571428568,1.1428571428571428
73,8,29,8,8,2016,11.0,4.0,11.0,8.0,8.0,17.0,1.0,1.0,4.0,1.0,3.0,4.0,1.5714285714285714,0.5714285714285714
74,16,9,16,8,2016,18.0,14.0,18.0,11.0,7.0,5.0,1.0,1.0,3.0,1.0,3.0,2.0,2.571428571428572,2.0
75,23,24,23,8,2016,3.0,2.0,5.0,6.0,16.0,13.0,1.0,1.0,2.0,3.0,2.0,4.0,0.4285714285714285,0.2857142857142857
76,28,26,28,8,2016,9.0,17.0,8.0,12.0,7.0,3.0,6.0,6.0,2.0,4.0,2.0,1.0,1.2857142857142858,2.4285714285714284
77,18,27,18,8,2016,6.0,8.0,7.0,12.0,10.0,13.0,1.0,1.0,2.0,2.0,3.0,4.0,0.8571428571428571,1.1428571428571428
78,22,5,22,8,2016,9.0,7.0,7.0,5.0,6.0,9.0,3.0,3.0,3.0,2.0,0.0,1.0,1.2857142857142858,1.0
79,15,17,15,8,2016,16.0,13.0,18.0,13.0,10.0,8.0,4.0,4.0,7.0,5.0,2.0,2.0,2.2857142857142856,1.8571428571428568
80,0,18,0,9,2016,19.0,6.0,19.0,7.0,9.0,11.0,1.0,1.0,4.0,1.0,2.0,2.0,2.375,0.75
81,2,26,2,9,2016,11.0,18.0,12.0,13.0,12.0,4.0,4.0,4.0,8.0,3.0,3.0,1.0,1.375,2.25
82,5,9,5,9,2016,7.0,15.0,6.0,12.0,12.0,6.0,2.0,2.0,1.0,2.0,4.0,2.0,0.875,1.875
